int4le	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	23 23					int4le			
int4ge	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	23 23					int4ge			
int2ge	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	21 21					int2ge			
int2mul	11	10	12	1	0	0	false	false	false	true	false	i	2	0	21	21 21					int2mul			
int2div	11	10	12	1	0	0	false	false	false	true	false	i	2	0	21	21 21					int2div			
int4div	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	23 23					int4div			
int2mod	11	10	12	1	0	0	false	false	false	true	false	i	2	0	21	21 21					int2mod			
int4mod	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	23 23					int4mod			
textne	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	25 25					textne			
int24eq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	21 23					int24eq			
int42eq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	23 21					int42eq			
int24lt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	21 23					int24lt			
int42lt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	23 21					int42lt			
int24gt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	21 23					int24gt			
int42gt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	23 21					int42gt			
int24ne	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	21 23					int24ne			
int42ne	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	23 21					int42ne			
int24le	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	21 23					int24le			
int42le	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	23 21					int42le			
int24ge	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	21 23					int24ge			
int42ge	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	23 21					int42ge			
int24mul	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	21 23					int24mul			
int42mul	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	23 21					int42mul			
int24div	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	21 23					int24div			
int42div	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	23 21					int42div			
int2pl	11	10	12	1	0	0	false	false	false	true	false	i	2	0	21	21 21					int2pl			
int4pl	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	23 23					int4pl			
int24pl	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	21 23					int24pl			
int42pl	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	23 21					int42pl			
int2mi	11	10	12	1	0	0	false	false	false	true	false	i	2	0	21	21 21					int2mi			
int4mi	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	23 23					int4mi			
int24mi	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	21 23					int24mi			
int42mi	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	23 21					int42mi			
oideq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	26 26					oideq			
oidne	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	26 26					oidne			
box_same	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_same			
box_contain	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_contain			
box_left	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_left			
box_overleft	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_overleft			
box_overright	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_overright			
box_right	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_right			
box_contained	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	603 603					box_contained			
float4in	11	10	12	1	0	0	false	false	false	true	false	i	1	0	700	2275					float4in			
float4out	11	10	12	1	0	0	false	false	false	true	false	i	1	0	2275	700					float4out			
float4mul	11	10	12	1	0	0	false	false	false	true	false	i	2	0	700	700 700					float4mul			
float4div	11	10	12	1	0	0	false	false	false	true	false	i	2	0	700	700 700					float4div			
float4pl	11	10	12	1	0	0	false	false	false	true	false	i	2	0	700	700 700					float4pl			
float4mi	11	10	12	1	0	0	false	false	false	true	false	i	2	0	700	700 700					float4mi			
float4um	11	10	12	1	0	0	false	false	false	true	false	i	1	0	700	700					float4um			
float4abs	11	10	12	1	0	0	false	false	false	true	false	i	1	0	700	700					float4abs			
float4_accum	11	10	12	1	0	0	false	false	false	true	false	i	2	0	1022	1022 700					float4_accum			
float4larger	11	10	12	1	0	0	false	false	false	true	false	i	2	0	700	700 700					float4larger			
float4smaller	11	10	12	1	0	0	false	false	false	true	false	i	2	0	700	700 700					float4smaller			
int4um	11	10	12	1	0	0	false	false	false	true	false	i	1	0	23	23					int4um			
int2um	11	10	12	1	0	0	false	false	false	true	false	i	1	0	21	21					int2um			
float8in	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	2275					float8in			
float8out	11	10	12	1	0	0	false	false	false	true	false	i	1	0	2275	701					float8out			
float8mul	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	701 701					float8mul			
float8div	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	701 701					float8div			
float8pl	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	701 701					float8pl			
float8mi	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	701 701					float8mi			
float8um	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					float8um			
float8abs	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					float8abs			
float8_accum	11	10	12	1	0	0	false	false	false	true	false	i	2	0	1022	1022 701					float8_accum			
float8larger	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	701 701					float8larger			
float8smaller	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	701 701					float8smaller			
lseg_center	11	10	12	1	0	0	false	false	false	true	false	i	1	0	600	601					lseg_center			
path_center	11	10	12	1	0	0	false	false	false	true	false	i	1	0	600	602					path_center			
poly_center	11	10	12	1	0	0	false	false	false	true	false	i	1	0	600	604					poly_center			
dround	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					dround			
dtrunc	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					dtrunc			
ceil	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					dceil			
ceiling	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					dceil			
floor	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					dfloor			
